lon,lat,PGA-0.0137,PGA-0.0098,PGA-0.0021,PGA-0.001,PGA-0.0003,PGA-0.0001,SA(0.3)-0.0137,SA(0.3)-0.0098,SA(0.3)-0.0021,SA(0.3)-0.001,SA(0.3)-0.0003,SA(0.3)-0.0001,SA(0.6)-0.0137,SA(0.6)-0.0098,SA(0.6)-0.0021,SA(0.6)-0.001,SA(0.6)-0.0003,SA(0.6)-0.0001,SA(1.0)-0.0137,SA(1.0)-0.0098,SA(1.0)-0.0021,SA(1.0)-0.001,SA(1.0)-0.0003,SA(1.0)-0.0001,SA(1.5)-0.0137,SA(1.5)-0.0098,SA(1.5)-0.0021,SA(1.5)-0.001,SA(1.5)-0.0003,SA(1.5)-0.0001
22.91978,40.67523,0.14,0.172,0.374,0.504,0.687,0.842,0.26,0.32,0.74,1.02,1.47,1.91,0.14,0.17,0.4,0.59,0.87,1.11,0.08,0.09,0.22,0.32,0.47,0.6,0.05,0.06,0.13,0.19,0.29,0.37
22.91978,40.66523,0.146,0.179,0.388,0.521,0.716,0.878,0.28,0.34,0.77,1.05,1.52,1.96,0.15,0.18,0.43,0.62,0.92,1.18,0.08,0.1,0.23,0.35,0.5,0.64,0.05,0.06,0.14,0.21,0.3,0.4
22.92978,40.67523,0.141,0.174,0.375,0.505,0.688,0.85,0.27,0.33,0.74,1.03,1.52,1.96,0.14,0.17,0.42,0.6,0.87,1.13,0.08,0.09,0.22,0.33,0.47,0.61,0.05,0.06,0.14,0.2,0.29,0.38
22.92978,40.66523,0.137,0.169,0.365,0.492,0.668,0.82,0.26,0.31,0.71,0.99,1.46,1.87,0.13,0.16,0.39,0.57,0.82,1.07,0.07,0.09,0.21,0.31,0.45,0.58,0.05,0.06,0.13,0.19,0.27,0.36
22.92978,40.65523,0.148,0.182,0.391,0.522,0.717,0.878,0.28,0.34,0.78,1.07,1.57,2.03,0.15,0.18,0.44,0.63,0.93,1.2,0.08,0.1,0.24,0.35,0.51,0.65,0.05,0.06,0.15,0.21,0.31,0.4
22.94978,40.63523,0.143,0.177,0.37,0.495,0.701,0.893,0.27,0.33,0.75,1.07,1.56,1.96,0.14,0.17,0.41,0.59,0.86,1.12,0.08,0.09,0.22,0.32,0.46,0.61,0.05,0.06,0.13,0.19,0.28,0.37
22.96978,40.61523,0.152,0.187,0.386,0.525,0.78,1.02,0.28,0.35,0.8,1.15,1.64,2.08,0.15,0.19,0.45,0.64,0.93,1.21,0.08,0.1,0.24,0.35,0.51,0.67,0.05,0.06,0.15,0.21,0.31,0.4
22.96978,40.60523,0.142,0.176,0.365,0.49,0.705,0.906,0.26,0.33,0.74,1.06,1.54,1.93,0.14,0.17,0.4,0.58,0.84,1.09,0.07,0.09,0.21,0.31,0.45,0.6,0.05,0.06,0.13,0.19,0.27,0.36
22.96978,40.59523,0.153,0.189,0.396,0.527,0.73,0.942,0.29,0.35,0.8,1.11,1.66,2.12,0.16,0.19,0.44,0.65,0.96,1.23,0.09,0.1,0.24,0.36,0.52,0.68,0.05,0.07,0.15,0.22,0.31,0.41
22.96978,40.58523,0.143,0.177,0.378,0.505,0.69,0.848,0.27,0.33,0.75,1.02,1.5,1.93,0.14,0.17,0.4,0.58,0.86,1.11,0.08,0.09,0.21,0.31,0.47,0.6,0.05,0.06,0.13,0.19,0.28,0.37
22.97978,40.60523,0.125,0.156,0.32,0.429,0.615,0.791,0.23,0.28,0.63,0.9,1.31,1.67,0.11,0.13,0.32,0.46,0.67,0.87,0.06,0.07,0.17,0.24,0.36,0.47,0.04,0.04,0.1,0.14,0.21,0.28
22.97978,40.59523,0.144,0.177,0.372,0.498,0.689,0.88,0.27,0.33,0.74,1.04,1.54,1.96,0.14,0.17,0.4,0.58,0.86,1.11,0.08,0.09,0.22,0.32,0.46,0.6,0.05,0.06,0.13,0.19,0.28,0.37
22.97978,40.58523,0.145,0.179,0.381,0.509,0.699,0.857,0.27,0.33,0.75,1.03,1.52,1.96,0.14,0.18,0.4,0.59,0.88,1.13,0.08,0.1,0.22,0.32,0.48,0.61,0.05,0.06,0.13,0.19,0.29,0.37
22.98978,40.59523,0.125,0.154,0.322,0.428,0.596,0.757,0.23,0.28,0.62,0.88,1.29,1.66,0.11,0.13,0.31,0.45,0.67,0.86,0.06,0.07,0.17,0.24,0.35,0.46,0.04,0.04,0.1,0.14,0.21,0.27
22.93978,40.65523,0.115,0.142,0.302,0.403,0.553,0.69,0.21,0.25,0.58,0.81,1.19,1.55,0.1,0.12,0.29,0.42,0.6,0.78,0.05,0.06,0.15,0.22,0.32,0.41,0.03,0.04,0.09,0.13,0.19,0.25
22.93978,40.64523,0.116,0.143,0.302,0.402,0.556,0.701,0.21,0.26,0.58,0.81,1.2,1.55,0.1,0.12,0.29,0.42,0.61,0.78,0.05,0.06,0.15,0.22,0.32,0.41,0.03,0.04,0.09,0.13,0.19,0.25
22.94978,40.65523,0.116,0.143,0.303,0.404,0.563,0.719,0.21,0.26,0.59,0.83,1.22,1.57,0.1,0.12,0.3,0.42,0.61,0.8,0.05,0.06,0.15,0.22,0.32,0.42,0.03,0.04,0.09,0.13,0.19,0.25
22.94978,40.64523,0.117,0.144,0.303,0.403,0.567,0.73,0.21,0.26,0.59,0.83,1.23,1.57,0.1,0.12,0.3,0.42,0.61,0.8,0.05,0.06,0.15,0.22,0.32,0.42,0.03,0.04,0.09,0.13,0.19,0.25
